PMSL DJF global,1.77
PMSL MAM global,1.77
PMSL JJA global,1.77
PMSL SON global,1.77
Precipitation DJF tropical_land,0.448
Precipitation MAM tropical_land,0.448
Precipitation JJA tropical_land,0.448
Precipitation SON tropical_land,0.448
Precipitation DJF tropical_ocean,1.095
Precipitation MAM tropical_ocean,1.095
Precipitation JJA tropical_ocean,1.095
Precipitation SON tropical_ocean,1.095
Precipitation DJF north,0.749
Precipitation MAM north,0.749
Precipitation JJA north,0.749
Precipitation SON north,0.749
Precipitation DJF south,0.988
Precipitation MAM south,0.988
Precipitation JJA south,0.988
Precipitation SON south,0.988
200 hPa horiz wind DJF global,1.43662
200 hPa horiz wind JJA global,1.43662
850 hPa horiz wind DJF global,0.918678
850 hPa horiz wind JJA global,0.918678
Z-mean U wind DJF global,1.40834
Z-mean U wind JJA global,1.40834
Z-mean V wind DJF global,0.157136
Z-mean V wind JJA global,0.157136
Z-mean merid streamfunction DJF global,0.813904
Z-mean merid streamfunction JJA global,0.813904
Precipitable water DJF global,1.83134
Precipitable water JJA global,1.83134
Z-mean relative humidity DJF global,7.23547
Z-mean relative humidity JJA global,7.23547
Z-mean air temperature DJF global,0.647693
Z-mean air temperature JJA global,0.647693
1.5m temperature DJF global,2.05
1.5m temperature JJA global,2.05
Overall assessment,0.0
